ID,Author Name,Author Disambiguation,Perseus Catalog ID,Wikipedia Entry,Trismegistos ID
884,Stesichoros,"Stesichoros (Greek, poetry lyric, BC 630 - 555)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1328,https://en.wikipedia.org/wiki/Stesichorus,https://www.trismegistos.org/author/884
197,Clemens of Rome,"Clemens of Rome (Greek / Latin, theology, AD 35 - 101 about)",,https://en.wikipedia.org/wiki/Pope_Clement_I,https://www.trismegistos.org/author/197
205,Anonymi of the Corpus Hermeticum,"Anonymi of the Corpus Hermeticum (Greek, religion, philosophy, AD 100 - 399)",,https://en.wikipedia.org/wiki/Hermetica,https://www.trismegistos.org/author/205
923,Theognis,"Theognis (Greek, poetry lyric, BC 599 - 500)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1388,https://en.wikipedia.org/wiki/Theognis,https://www.trismegistos.org/author/923
181,Chariton,"Chariton (Greek, novel, BC 99 - AD 199)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.353,https://en.wikipedia.org/wiki/Chariton,https://www.trismegistos.org/author/181
4980,Gaius Lucilius,"Gaius Lucilius (Latin, satire, BC 180 - 102 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.850,https://en.wikipedia.org/wiki/Gaius_Lucilius,https://www.trismegistos.org/author/4980
2854,Pseudo-Longinos or Pseudo-Dionysios,"Pseudo-Longinos or Pseudo-Dionysios (Greek, rhetoric, AD 1 - 99?)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.844,https://en.wikipedia.org/wiki/On_the_Sublime,https://www.trismegistos.org/author/2854
412,Ignatios of Antiocheia,"Ignatios of Antiocheia (Greek, religion, epistolography, AD 50 - 117)",,https://en.wikipedia.org/wiki/Ignatius_of_Antioch,https://www.trismegistos.org/author/412
99,Aratos,"Aratos (Greek, poetry epic, astronomy, BC 315 - 240)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.166,https://en.wikipedia.org/wiki/Aratus,https://www.trismegistos.org/author/99
3702,Synesios of Kyrene,"Synesios of Kyrene (Greek, philosophy Neoplatonist, poetry epigram, epistolography, poetry tragedy, AD 370 - 414 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1356,https://en.wikipedia.org/wiki/Synesius,https://www.trismegistos.org/author/3702
4989,Marcus Manilius,"Marcus Manilius (Latin, astrology, poetry, fl. AD 12)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.887,https://en.wikipedia.org/wiki/Marcus_Manilius,https://www.trismegistos.org/author/4989
819,Rufinus of Aquileia,"Rufinus of Aquileia (Latin, history, theology, AD 344 - 411)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1228,https://en.wikipedia.org/wiki/Tyrannius_Rufinus,https://www.trismegistos.org/author/819
199,Columella,"Columella (Latin, agriculture, AD 4 - 70)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.394,https://en.wikipedia.org/wiki/Columella,https://www.trismegistos.org/author/199
7,Achilleus Tatios,"Achilleus Tatios (Greek, erotic, AD 150 - 225)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.10,https://en.wikipedia.org/wiki/Achilles_Tatius,https://www.trismegistos.org/author/7
4839,Phaedrus,"Phaedrus (Latin, fable, BC 15 - AD 50 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1068,https://en.wikipedia.org/wiki/Phaedrus_(fabulist),https://www.trismegistos.org/author/4839
8079,Protagoras Abderita,"Protagoras Abderita (Greek, philosophy sophist, BC 490 - 420 about)",,https://en.wikipedia.org/wiki/Protagoras,https://www.trismegistos.org/author/8079
835,Seneca rhetor,"Seneca rhetor (Latin, rhetoric, BC 54 - AD 39 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1271,https://en.wikipedia.org/wiki/Seneca_the_Elder,https://www.trismegistos.org/author/835
951,Valerius Maximus,"Valerius Maximus (Latin, history, BC 25 - AD 50)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1448,https://en.wikipedia.org/wiki/Valerius_Maximus,https://www.trismegistos.org/author/951
104,Areios,"Areios (Greek, epistolography, fl. AD 318)",,https://en.wikipedia.org/wiki/Arius,https://www.trismegistos.org/author/104
560,Martianus Capella,"Martianus Capella (Latin, history, AD 375 - 450)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.898,https://en.wikipedia.org/wiki/Martianus_Capella,https://www.trismegistos.org/author/560
644,Pelagius,"Pelagius (Latin, theology, AD 350 - 430)",,https://en.wikipedia.org/wiki/Pelagius,https://www.trismegistos.org/author/644
1538,Anaxagoras,"Anaxagoras (Greek, philosophy pluralist, astronomy, BC 500 - 428)",,https://en.wikipedia.org/wiki/Anaxagoras,https://www.trismegistos.org/author/1538
955,Velleius Paterculus,"Velleius Paterculus (Latin, history, BC 19 - AD 31)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1458,https://en.wikipedia.org/wiki/Velleius_Paterculus,https://www.trismegistos.org/author/955
261,Donatus,"Donatus (Latin, grammar, AD 325 - 375)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.529,https://en.wikipedia.org/wiki/Aelius_Donatus,https://www.trismegistos.org/author/261
204,Cornelius Nepos,"Cornelius Nepos (Latin, biography, grammar, BC 99 - 24 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.968,https://en.wikipedia.org/wiki/Cornelius_Nepos,https://www.trismegistos.org/author/204
209,Curtius Rufus,"Curtius Rufus (Latin, history, fl. AD 50)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.428,https://en.wikipedia.org/wiki/Curtius_Rufus,https://www.trismegistos.org/author/209
273,Ephraem of Syria,"Ephraem of Syria (Syriac, theology, hagiography, chronography, AD 306 about - 373)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.557,https://en.wikipedia.org/wiki/Ephraim_the_Syrian,https://www.trismegistos.org/author/273
910,Themistios,"Themistios (Greek, philosophy Neoplatonic, AD 317 - 390 about)",,https://en.wikipedia.org/wiki/Themistius,https://www.trismegistos.org/author/910
