ID,Author Name,Author Disambiguation,Perseus Catalog ID,Wikipedia Entry,Trismegistos ID
5761,Anonymi of the Hymni Homerici,"Anonymi of the Hymni Homerici (Greek, poetry hymn, BC 699 - 500)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1738,https://en.wikipedia.org/wiki/Homeric_Hymns,https://www.trismegistos.org/author/5761
3281,Anonymi of the Orphica,"Anonymi of the Orphica (Greek, philosophy, theology, poetry epic, BC 799 - AD 799)",,https://en.wikipedia.org/wiki/Orpheus,https://www.trismegistos.org/author/3281
9213,Theophilos of Kaisareia,"Theophilos of Kaisareia (Greek, scriptor ecclesiasticus, died AD 195)",,"https://en.wikipedia.org/wiki/Theophilus,_bishop_of_Caesarea",https://www.trismegistos.org/author/9213
4989,Marcus Manilius,"Marcus Manilius (Latin, astrology, poetry, fl. AD 12)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.887,https://en.wikipedia.org/wiki/Marcus_Manilius,https://www.trismegistos.org/author/4989
7364,Anonymi of the Panegyrici Latini,"Anonymi of the Panegyrici Latini (Latin, rhetoric, AD 289 - 389)",,https://en.wikipedia.org/wiki/Panegyrici_Latini,https://www.trismegistos.org/author/7364
