english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Aelius Aristides,Aelius Aristide,Publius Aelius Aristides,Q354431,,89043754,41,35,"[""Publius Aelius Aristides Theodorus"", ""Publius Aelius Aristides""]","[""\u00c6lius Aristide""]","[""Aelius Aristides"", ""Aristides Rhetor""]","[""Ancient Greek""]"
Achilles Tatius,Achille Tatius,Achilles Tatius,Q221951,,89002230,37,32,"[""Achilleus Tatios""]","[""Achille Tatios"", ""Achilles Tatius""]","[""Achilles Tatius Scriptor eroticus""]","[""Ancient Greek""]"
Gregory I,Grégoire Ier,Gregorius Magnus,Q42827,,100184667,35,32,"[""Pope Gregory I"", ""Pope Gregory the Great"", ""St Gregory I"", ""Pope Saint Gregory I"", ""St. Gregory the Dialogist"", ""Pope St. Gregory I"", ""Saint Gregory"", ""St Gregory the Great"", ""Gregorius Anicius"", ""Gregory"", ""Saint Gregory the Dialogist"", ""Pope Saint Gregory I the Great"", ""Saint Gregorius Magnus"", ""Gregorius Magnus"", ""St. Gregory the Great"", ""Saint Gregory I"", ""Saint Gregory the Great"", ""Gregory the Great"", ""Gregory The Great"", ""St Gregory""]","[""Gregoire le Grand"", ""Gr\u00e9goire 1er"", ""Gr\u00e9goire Ier le Grand"", ""Gr\u00e9goire le Grand"", ""Gregoire Ier"", ""saint Gr\u00e9goire le grand""]","[""Sanctus Gregorius PP. I Magnus"", ""Sanctus Gregorius"", ""Gregorius I"", ""Sanctus Gregorius Magnus""]","[""Latin""]"
Libanius,Libanios,Libanius,Q263892,,17225859,31,27,"[""Libanius Sophista"", ""Libanius of Antioch"", ""Libanius the Sophist"", ""Libanios""]",[],"[""Libanius Sophista"", ""Libanius Rhetor"", ""Libanius Antiochenus""]","[""Ancient Greek""]"
Gregory of Tours,Grégoire de Tours,Gregorius Turonensis,Q67841,,95289837,26,25,"[""St. Gregory of Tours""]","[""Gr\u00e9goire de Tour"", ""Saint Gr\u00e9goire de Tours"", ""Gregoire de Tours""]","[""Sanctus Gregorius Turonensis""]","[""Medieval Latin""]"
Martianus Capella,Martianus Capella,Martianus Capella,Q348408,,95152094,15,15,"[""Martianus Minneus Felix Capella"", ""M. Capella"", ""Martian Capella"", ""Martian"", ""Martian. Capella"", ""Martianus"", ""Capella""]","[""Marcien Capella"", ""Martianus""]","[""Martianus Minneus Felix Capella"", ""Felix Capella"", ""Martianus"", ""Martianus Cap."", ""Martianus Capella Carthaginiensis""]","[""Latin""]"
Empedocles,Empédocle,Empedocles,Q83375,,172385490,13,13,[],"[""Emp\u00e9docle d'Agrigente"", ""Emp\u00e9docle d\u2019Agrigente"", ""Empedocle d'Agrigente""]","[""Empedocles Philosophus""]","[""Ancient Greek""]"
Parmenides,Parménide,Parmenides,Q125551,,57151776745618011100,13,13,"[""Parmenides of Elea""]","[""Parmenide"", ""Parm\u00e9nide d'\u00c9l\u00e9e"", ""Parmenides""]","[""Parmenides Philosophus"", ""Parmenides Poeta"", ""Parmenides Eleaticus""]","[""Ancient Greek""]"
Maximus the Confessor,Maxime le Confesseur,Maximus Confessor,Q206842,,106970843,9,9,"[""Saint Maximus"", ""Maximus of Constantinople"", ""Maximus the Theologian""]","[""Maxime de Chrysopolis"", ""Saint Maxime le Confesseur""]","[""Maximus Confessor Theologus"", ""Maximus Constantinopolitanus"", ""Maximus Homologetes""]","[""Medieval Greek""]"
Alexandros of Aphrodisias,Alexandre d’Aphrodise,Alexander Aphrodisiensis,Q317146,,95239377,7,6,"[""Alexander of Aphrodisias""]","[""Alexandre d'Aphrodisias"", ""Alexandre d'Aphrodisie""]",[],"[""Ancient Greek""]"
