english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Gaius Julius Solinus,Solin,Gaius Julius Solinus,Q520487,"Solinus, Gaius Julius",51672454,26,24,"[""Solinus"", ""Solin."", ""Gaius Iulius Solinus"", ""Caius Iulius Solinus"", ""C. Julius Solinus"", ""C. Iulius Solinus"", ""Solinus the Grammarian"", ""Caius Julius Solinus"", ""Solinus Grammaticus""]","[""Caius Julius Solin"", ""Caius Julius Solinus"", ""Gaius Julius Solinus""]","[""Solini"", ""Solinus"", ""C. Julii Solini"", ""Caii Julii Solini"", ""Solin."", ""Gaius Iulius Solinus"", ""C. Julius Solinus"", ""C. Iulius Solinus"", ""Solinum"", ""Caii Iulii Solini"", ""Gaii Julii Solini"", ""Solinus Grammaticus"", ""C. Iulii Solini"", ""Soline"", ""Solino"", ""Gaii Iulii Solini""]","[""Latin""]"
Salvian,Salvien de Marseille,Salvianus Massiliensis,Q532684,Salvianus,236486362,47,37,"[""Salvianus"", ""Salvian of Marseilles""]","[""Salvien""]","[""Salvianus""]","[""Latin""]"
Rutilius Taurus Aemilianus Palladius,Palladius,Palladius Rutilius Taurus Aemilianus,Q561353,"Palladius, Rutilius Taurus Aemilianus",54143112,24,21,"[""Palladius Rutilius Taurus Aemilianus""]",[],"[""Rutilius Taurus Aemilianus Palladius""]","[""Latin""]"
Festus,Rufius Festus,Festus,Q666127,"Festus, Rufus Sextus",79076696,4,3,"[""Sextus Rufus"", ""Sextus Festus"", ""Ruffus Festus"", ""Rufus Festus""]","[""Sextus Rufus""]","[""Festus Historicus"", ""Rufius Festus"", ""Sextus Rufus"", ""Rufus Festus""]","[""Latin""]"
Eucherius of Lyon,Eucher de Lyon,Eucherius Lugdunensis,Q671419,Eucherius of Lyon,90719515,1,1,"[""Eucherius""]",[],[],"[""Latin""]"
Julius Obsequens,Julius Obsequens,Iulius Obsequens,Q682860,Julius Obsequens,100202247,37,35,"[""Iulius Obsequens""]",[],"[""Obsequens Mythographus"", ""Julius Obsequens""]","[""Latin""]"
Rutilius Claudius Namatianus,Rutilius Namatianus,Claudius Rutilius Namatianus,Q705919,"Rutilius Namatianus, Claudius",102333340,20,19,"[""Claudius Rutilius Numatianus""]","[""Rutilius Claudius Namatianus"", ""Claudius Rutilius Numatianus""]","[""Rutilius Claudius Namatianus"", ""Claudius Rutilius Numatianus Poeta"", ""Rutilius Namatianus""]","[""Latin""]"
Censorinus,Censorin,Censorinus,Q707449,Censorinus,195718548,49,45,"[""Censorinus Grammaticus"", ""Censorinus the Grammarian""]","[""Censorinus""]","[""Censorinus Grammaticus"", ""Censorinum"", ""Censorini"", ""Censorine"", ""Censorino""]","[""Latin""]"
Marcus Valerius Probus,Valérius Probus,Marcus Valerius Probus,Q722683,Valerius Probus,90633449,12,10,"[""M. Valerius Probus"", ""Marcus Valerius Probus Berytius"", ""Marcus V. Probus"", ""M. Valerius Probus Berytius"", ""Valerius Probus"", ""Probus of Beirut"", ""Probus Minor"", ""Probus""]","[""Marcus Valerius Probus""]","[""Probus Grammaticus""]","[""Latin""]"
Sextus Pomponius,Sextus Pomponius,Sextus Pomponius,Q944631,Sextus Pomponius,67261809,13,10,[],[],[],"[""Latin""]"
Albinovanus Pedo,Albinovanus Pedo,Albinovanus Pedo,Q1526652,Albinovanus Pedo,8826150033013511180002,23,23,"[""Gaius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus"", ""Caius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus""]","[""Latin""]"
