english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Gregory of Tours,Grégoire de Tours,Gregorius Turonensis,Q67841,Gregorius of Tours,1278,"[""St. Gregory of Tours""]","[""Gr\u00e9goire de Tour"", ""Saint Gr\u00e9goire de Tours"", ""Gregoire de Tours""]","[""Sanctus Gregorius Turonensis""]","[""Medieval Latin""]"
Gorgias,Gorgias,Gorgias,Q179785,Gorgias of Leontinoi,2449,"[""Gorgias of Leontini""]",[],"[""Gorgias Sophista"", ""Gorgias Leontinus""]","[""Attic Greek""]"
Maximus the Confessor,Maxime le Confesseur,Maximus Confessor,Q206842,Maximos confessor,2999,"[""Saint Maximus"", ""Maximus of Constantinople"", ""Maximus the Theologian""]","[""Maxime de Chrysopolis"", ""Saint Maxime le Confesseur""]","[""Maximus Confessor Theologus"", ""Maximus Constantinopolitanus"", ""Maximus Homologetes""]","[""Medieval Greek""]"
Pelagius,Pélage,Pelagius,Q162593,Pelagius,644,"[""Morgan""]","[""Pelagius""]","[""Pelagius Britannicus"", ""Pelagius Theologus""]",[]
Mani,Mani,Manes,Q203922,Mani,547,"[""Manes"", ""Suraik"", ""Kurbik""]","[""ma\u00eetre Mani"", ""le Vivant"", ""Manikhaios""]","[""Manichaeus""]",[]
Hippolytus,Hippolyte de Rome,Hippolytus,Q207113,Hippolytos of Rome,391,"[""St. Hippolytus"", ""Hippolytus of Rome""]","[""Hippolyte de Porto"", ""Antipape Hippolyte"", ""Saint Hippolyte de Rome""]","[""Sanctus Hippolytus"", ""Hippolytus Romanus""]",[]
Pseudo-Dionysius the Areopagite,Pseudo-Denys l'Aréopagite,Pseudo-Dionysius Areopagita,Q312816,Pseudo-Dionysios Areopagites,744,"[""Pseudo-Denys"", ""Dionysius the Pseudo-Areopagite""]","[""Pseudo-Denys"", ""Corpus Areopagiticum"", ""Pseudo-Denys l'Areopagite"", ""Saint Denys l\u2019Ar\u00e9opagite""]",[],[]
Suidas,Suidas,Suidas,Q1534037,Anonymus of the Suidas,6227,"[""S\u016b\u00efdas"", ""Su\u00efdas"", ""Soudas"", ""Souidas""]",[],[],[]
Hermas,Hermas,Hermas,Q1799472,Hermas,370,[],[],"[""Hermas Scriptor ecclesiasticus""]",[]
Socrates,Socrate,Socrates,Q913,Sokrates,3623,[],[],"[""Socrates Atheniensis"", ""Socrates Philosophus""]",[]
Pythagoras,Pythagore,Pythagoras,Q10261,Pythagoras,803,"[""Pythagoras from Samos"", ""Pythagoras of Samos"", ""Samian Sage""]",[],"[""Pythagoras Samius"", ""Pythagoras Philosophus""]",[]
