english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Aelius Herodianus,Aelius Herodianus,Aelius Herodianus,Q380826,Aelius Herodianus (grammarian),88626271,6,6,"[""Herodian""]","[""H\u00e9rodien d'Alexandrie"", ""H\u00e9rodien""]","[""Herodianus Grammaticus"", ""Aelius Herodianus Technicus"", ""Herodianus Alexandrinus""]","[""Ancient Greek""]"
Philostorgius,Philostorge,Philostorgius,Q380943,Philostorgius,88747658,18,17,"[""Philostrogius""]","[""Philostorgios""]","[""Philostorgius Cappadox"", ""Philostrogius"", ""Philostorgius Scriptor ecclesiasticus""]","[""Ancient Greek""]"
Simplicius of Cilicia,Simplicius,Simplicius,Q351518,Simplicius of Cilicia,71399875,45,34,"[""Simplicius van Cilici\u00eb"", ""Simplicius""]","[""Simplicius van Cilici\u00eb"", ""Simplicios de Cilicie"", ""Simplicius de Cilicie"", ""Simplicios""]","[""Simplicius Neoplatonicus"", ""Simplicius Atheniensis"", ""Simplicius Cilicius"", ""Simplicius Philosophus"", ""Simplicius van Cilici\u00eb""]","[""Ancient Greek""]"
Quintus Smyrnaeus,Quintus de Smyrne,Quintus Smyrnaeus,Q352702,Quintus of Smyrna,822154381060730292426,3,3,"[""Quintus of Smyrna"", ""Kointos"", ""Quintus Calaber"", ""Quintus""]",[],"[""Quintus Poeta"", ""Quintus Epicus""]","[""Ancient Greek""]"
Quintus Smyrnaeus,Quintus de Smyrne,Quintus Smyrnaeus,Q352702,Quintus Calaber,76294608,32,27,"[""Quintus of Smyrna"", ""Kointos"", ""Quintus Calaber"", ""Quintus""]",[],"[""Quintus Poeta"", ""Quintus Epicus""]","[""Ancient Greek""]"
Sozomen,Sozomène,Sozomenus,Q354350,"Sozomenus, Hermias",305409681,50,48,"[""Hermias Sozomenus""]","[""Sozomen"", ""Sozomene""]","[""Sozomenus Scriptor ecclesiasticus"", ""Hermias Sozomenus"", ""Salaminius Hermias Sozomenus""]","[""Ancient Greek""]"
Synesius of Cyrene,Synésios de Cyrène,Synesius Cyrenaeus,Q357027,Synesius,102323982,37,32,"[""Synesius of Ptolemais"", ""Bishop of Ptolemais"", ""Synesius""]","[""Syn\u00e9sius de Cyr\u00e8ne"", ""Syn\u00e9sios"", ""Syn\u00e9sius"", ""Synesius"", ""Synesios de Cyrene""]","[""Synesius Cyrenensis"", ""Synesius""]","[""Ancient Greek""]"
Theophylact of Ohrid,Théophylacte d'Ohrid,Theophylactus Achridensis,Q1247278,Theophylact of Ohrid,69730041,69,47,[],"[""Th\u00e9ophylacte d'Achrida"", ""Th\u00e9ophylacte d'Ochrid"", ""Th\u00e9ophylacte de Bulgarie""]","[""Theophylactus Ochridensis"", ""Theophylactus Bulgarorum archiepiscopus"", ""Theophylactus Bulgarias"", ""Theophylactus de Achrida""]","[""Medieval Greek""]"
John the Lydian,Jean le Lydien,Ioannes Lydus,Q1389145,"Lydus, Johannes",109213110,1,1,"[""John Lydus"", ""Ioannes Laurentius Lydus""]","[""Jean Lydus""]","[""Iohannes Lydus"", ""Ioannes Laurentius Lydus""]","[""Medieval Greek""]"
Origen,Origène,Origenes,Q170472,Origen,95155322,182,115,"[""Origenes""]","[""Orig\u00e8ne d'Alexandrie"", ""Origene"", ""Orig\u00e8nes""]","[""Origenes Alexandrinus"", ""Origenes Adamantius"", ""Origenes Theologus""]","[""Koine Greek""]"
Zosimus,Zosime,Zosimus,Q226858,Zosimus,102333329,68,62,[],[],"[""Zosimus Costantinopolitanus"", ""Zosimus Historicus""]","[""Koine Greek""]"
Ulfilas,Wulfila,Ulfilas,Q107317,Ulfilas (bishop),66477200,3,1,"[""Ulphilas"", ""Orphila"", ""Wulfila""]","[""Ulfilas"", ""Ulphilas"", ""Ulfila""]","[""Ulfila"", ""Ulfila Episcopus""]",[]
Benedict of Nursia,Benoît de Nursie,Benedictus de Nursia,Q44265,Benedict of Nursia (saint),28147121748626392193,2,2,"[""Saint Benedict"", ""Saint Benedict of Nursia"", ""St. Benedict"", ""Bengt""]","[""Saint Beno\u00eet de Nursie"", ""Benoit de Nursie""]","[""Benedictus Casinensis Abbas"", ""Sanctus Benedictus"", ""Sanctus Benedictus de Nursia"", ""Benedictus Casinensis""]",[]
