,author,tags,perseus,wikipedia,trimegistos,trismegistos_id,wikidata_id,aliases
196,Blossius Aemilius Dracontius,"(Latin, poetry, AD 400 - 499)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.535,https://en.wikipedia.org/wiki/Dracontius,https://www.trismegistos.org/author/5946,5946,Q885446,"['draconcio', 'draconzio', 'dracontius poeta', 'blossio emilio draconzio', 'dracontius afer', 'blossius aemilius dracontius', 'dracontius']"
197,Euagrios of Pontos,"(Greek, religion, AD 345 - 399)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.613,https://en.wikipedia.org/wiki/Evagrius_Ponticus,https://www.trismegistos.org/author/286,286,Q437869,"['euagrios pontikus', 'evagrios pontikos', 'euagrios pontikos', 'evagrius von pontus', 'evagrius of pontus', 'evagrio del ponto', 'evagrio el monje', 'evagre le pontique', 'evagrio pontico', 'évagre le pontique', 'evagre du pont', 'evagrio póntico', 'evagrius ponticus', 'evagrius the solitary']"
198,Florus,"(Latin, history, AD 74 - 130 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.633,https://en.wikipedia.org/wiki/Florus,https://www.trismegistos.org/author/319,319,Q316483,"['iulius florus', 'julio floro', 'lucio anneo floro', 'florus', 'lucio aneo floro', 'julius florus', 'anneo giulio', 'florus historicus', 'floro', 'aneo floro', 'lucius annaeus florus', 'publio annio floro', 'annio floro', 'anneo floro']"
199,Iustinus,"(Latin, history, fl. AD 150)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.799,https://en.wikipedia.org/wiki/Justin_(historian),https://www.trismegistos.org/author/1060,1060,Q210853,"['marcus junianus justinus', 'giustino', 'marco giuniano giustino', 'marco juniano', 'justin', 'marco juniano justino', 'junianus justinus', 'juniano justino', 'marcus junianus justinus frontinus', 'm. iunianus iustinus', 'marcus iunianus iustinus', 'marcus iunianus iustinus frontinus', 'iunianus iustinus', 'iustinus']"
200,Fronto,"(Latin / Greek, rhetoric, AD 100 - 165 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.640,https://en.wikipedia.org/wiki/Marco_Cornelio_Fronto,https://www.trismegistos.org/author/323,323,Q317055,"['marco cornelio frontón', 'fronto', 'marco cornelio fronton', 'marcus cornelius fronto rhetor', 'fronto rhetor', 'marco cornelio fronto', 'marco cornelio frontone', 'frontone', 'marcus cornelius fronto', 'fronton']"
201,Aulus Cornelius Celsus,"(Latin, medicine, encyclopedia, BC 25 - AD 50 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.340,https://en.wikipedia.org/wiki/Aulus_Cornelius_Celsus,https://www.trismegistos.org/author/1938,1938,Q312420,"['celso', 'celsus medicus', 'cornelio celso', 'aulus cornelius celsus', 'celsus', 'aulo cornelio celso', 'cornelius celsus', 'celse']"
202,Herondas,"(Greek, poetry, comedy, BC 299 - 200)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.725,https://en.wikipedia.org/wiki/Herondas,https://www.trismegistos.org/author/379,379,Q434811,"['herondas mimographus', 'herondas', 'hérodas', 'herodas', 'eroda', 'eronda', 'heroidas', 'hérondas', 'herodas mimographus']"
203,Gaius,"(Latin, law, AD 110 - 180 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.647,https://en.wikipedia.org/wiki/Gaius_(jurist),https://www.trismegistos.org/author/325,325,Q313439,"['cayo', 'gaius iurisconsultus', 'gaio', 'gaius', 'caïus', 'gaïus', 'caius', 'gaius, iur.,', 'caio', 'gayo']"
204,Hermas,"(Greek, theology, AD 100 - 199)",nan,https://en.wikipedia.org/wiki/Hermas_(freedman),https://www.trismegistos.org/author/370,370,Q1799472,"['erma', 'hermas de roma', 'hermas', 'san hermas', 'hermas von rom', 'hermas scriptor ecclesiasticus']"
205,Tatianos,"(Greek / Syriac, theology, AD 120 - 180)",nan,https://en.wikipedia.org/wiki/Tatian,https://www.trismegistos.org/author/900,900,Q272087,"['tatian the syrian', 'taciano el sirio', 'tatianus', 'taziano il siro', 'tatien le syrien', 'taciano', 'tatian', 'tatianus syrus', 'tatiano il siro', 'taziano', 'tatien', 'taziano di siria', 'tatianus assyrius']"
206,Gaius Cornelius Gallus,"(Latin / Greek, poetry elegy, rhetoric, BC 70 - 26 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.653,https://en.wikipedia.org/wiki/Cornelius_Gallus,https://www.trismegistos.org/author/203,203,Q8825,"['gaio cornelio gallo', 'gallus poeta', 'caius cornelius gallus', 'gaius cornelius gallus', 'cornelio gallo', 'cornelius gallus', 'cayo cornelio galo', 'gayo cornelio galo']"
